"School","Gender","Ethnicity","Type of Homelessness","Count of Students","year"
"Clara Barton Elem","F","Asian-Chinese","Temporarily Doubled Up",10,"2012-2013"
"Clara Barton Elem","F","Asian-Laotian","Temporarily Doubled Up",1,"2012-2013"
"Clara Barton Elem","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2012-2013"
"Clara Barton Elem","F","Black or African American","Temporarily Doubled Up",9,"2012-2013"
"Clara Barton Elem","F","Filipino","Temporarily Doubled Up",4,"2012-2013"
"Clara Barton Elem","F","Hispanic","Temporarily Doubled Up",44,"2012-2013"
"Clara Barton Elem","F","Hispanic","Temporarily Unsheltered",1,"2012-2013"
"Clara Barton Elem","F","White","Temporarily Doubled Up",16,"2012-2013"
"Clara Barton Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"Clara Barton Elem","M","Asian-Chinese","Temporarily Doubled Up",5,"2012-2013"
"Clara Barton Elem","M","Asian-Hmong","Temporarily Doubled Up",1,"2012-2013"
"Clara Barton Elem","M","Asian-Japanese","Temporarily Doubled Up",1,"2012-2013"
"Clara Barton Elem","M","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Clara Barton Elem","M","Black or African American","Temporarily Doubled Up",14,"2012-2013"
"Clara Barton Elem","M","Filipino","Temporarily Doubled Up",5,"2012-2013"
"Clara Barton Elem","M","Hispanic","Hotels/motels",1,"2012-2013"
"Clara Barton Elem","M","Hispanic","Temporarily Doubled Up",64,"2012-2013"
"Clara Barton Elem","M","White","Temporarily Doubled Up",16,"2012-2013"
"Corona Fundamental Int","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"Corona Fundamental Int","F","Filipino","Temporarily Doubled Up",2,"2012-2013"
"Corona Fundamental Int","F","Hispanic","Temporarily Doubled Up",13,"2012-2013"
"Corona Fundamental Int","F","White","Temporarily Doubled Up",2,"2012-2013"
"Corona Fundamental Int","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2012-2013"
"Corona Fundamental Int","M","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Corona Fundamental Int","M","Filipino","Temporarily Doubled Up",2,"2012-2013"
"Corona Fundamental Int","M","Hispanic","Temporarily Doubled Up",8,"2012-2013"
"Corona Fundamental Int","M","White","Temporarily Doubled Up",2,"2012-2013"
"Corona High","F","Black or African American","Temporarily Doubled Up",3,"2012-2013"
"Corona High","F","Declined to state","Temporary Shelters",1,"2012-2013"
"Corona High","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Corona High","F","Hispanic","Hotels/motels",4,"2012-2013"
"Corona High","F","Hispanic","Temporarily Doubled Up",62,"2012-2013"
"Corona High","F","Hispanic","Temporary Shelters",1,"2012-2013"
"Corona High","F","White","Hotels/motels",2,"2012-2013"
"Corona High","F","White","Temporarily Doubled Up",10,"2012-2013"
"Corona High","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2012-2013"
"Corona High","M","Asian-Korean","Temporarily Doubled Up",1,"2012-2013"
"Corona High","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2012-2013"
"Corona High","M","Black or African American","Temporarily Doubled Up",3,"2012-2013"
"Corona High","M","Declined to state","Temporarily Doubled Up",1,"2012-2013"
"Corona High","M","Filipino","Temporarily Doubled Up",2,"2012-2013"
"Corona High","M","Hispanic","Hotels/motels",2,"2012-2013"
"Corona High","M","Hispanic","Temporarily Doubled Up",72,"2012-2013"
"Corona High","M","Hispanic","Temporary Shelters",1,"2012-2013"
"Corona High","M","White","Hotels/motels",1,"2012-2013"
"Corona High","M","White","Temporarily Doubled Up",14,"2012-2013"
"Corona Ranch Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"Corona Ranch Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2012-2013"
"Corona Ranch Elem","F","Black or African American","Temporarily Doubled Up",3,"2012-2013"
"Corona Ranch Elem","F","Hispanic","Temporarily Doubled Up",54,"2012-2013"
"Corona Ranch Elem","F","White","Hotels/motels",2,"2012-2013"
"Corona Ranch Elem","F","White","Temporarily Doubled Up",12,"2012-2013"
"Corona Ranch Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2012-2013"
"Corona Ranch Elem","M","Asian-Asian Indian","Temporarily Doubled Up",3,"2012-2013"
"Corona Ranch Elem","M","Asian-Chinese","Temporarily Doubled Up",1,"2012-2013"
"Corona Ranch Elem","M","Asian-Laotian","Temporarily Doubled Up",2,"2012-2013"
"Corona Ranch Elem","M","Asian-Other","Temporarily Doubled Up",2,"2012-2013"
"Corona Ranch Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2012-2013"
"Corona Ranch Elem","M","Black or African American","Temporarily Doubled Up",5,"2012-2013"
"Corona Ranch Elem","M","Filipino","Temporarily Doubled Up",2,"2012-2013"
"Corona Ranch Elem","M","Hispanic","Temporarily Doubled Up",57,"2012-2013"
"Corona Ranch Elem","M","White","Hotels/motels",2,"2012-2013"
"Corona Ranch Elem","M","White","Temporarily Doubled Up",7,"2012-2013"
"Corona Vista","F","Hispanic","Temporarily Doubled Up",3,"2012-2013"
"Corona-Norco Alternative","F","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2012-2013"
"Corona-Norco Alternative","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Corona-Norco Alternative","F","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Corona-Norco Alternative","F","Hispanic","Hotels/motels",2,"2012-2013"
"Corona-Norco Alternative","F","Hispanic","Temporarily Doubled Up",9,"2012-2013"
"Corona-Norco Alternative","F","White","Temporarily Doubled Up",3,"2012-2013"
"Corona-Norco Alternative","M","Black or African American","Temporarily Doubled Up",2,"2012-2013"
"Corona-Norco Alternative","M","Black or African American","Temporarily Unsheltered",1,"2012-2013"
"Corona-Norco Alternative","M","Hispanic","Temporarily Doubled Up",4,"2012-2013"
"Corona-Norco Alternative","M","White","Temporarily Doubled Up",2,"2012-2013"
"Coronita Elem","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Coronita Elem","F","Hispanic","Temporarily Doubled Up",25,"2012-2013"
"Coronita Elem","F","Hispanic","Temporarily Unsheltered",1,"2012-2013"
"Coronita Elem","F","White","Temporarily Doubled Up",2,"2012-2013"
"Coronita Elem","M","Black or African American","Temporarily Doubled Up",2,"2012-2013"
"Coronita Elem","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Coronita Elem","M","Hispanic","Temporarily Doubled Up",28,"2012-2013"
"Coronita Elem","M","Hispanic","Temporarily Unsheltered",1,"2012-2013"
"Coronita Elem","M","White","Hotels/motels",1,"2012-2013"
"Coronita Elem","M","White","Temporarily Doubled Up",1,"2012-2013"
"Dr. Augustine Ramirez Int.","F","Asian-Chinese","Temporarily Doubled Up",1,"2012-2013"
"Dr. Augustine Ramirez Int.","F","Asian-Laotian","Temporarily Doubled Up",1,"2012-2013"
"Dr. Augustine Ramirez Int.","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Dr. Augustine Ramirez Int.","F","Black or African American","Temporarily Doubled Up",5,"2012-2013"
"Dr. Augustine Ramirez Int.","F","Filipino","Temporarily Doubled Up",2,"2012-2013"
"Dr. Augustine Ramirez Int.","F","Hispanic","Temporarily Doubled Up",7,"2012-2013"
"Dr. Augustine Ramirez Int.","F","White","Temporarily Doubled Up",2,"2012-2013"
"Dr. Augustine Ramirez Int.","M","Asian-Chinese","Temporarily Doubled Up",3,"2012-2013"
"Dr. Augustine Ramirez Int.","M","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Dr. Augustine Ramirez Int.","M","Black or African American","Temporarily Doubled Up",4,"2012-2013"
"Dr. Augustine Ramirez Int.","M","Filipino","Temporarily Doubled Up",3,"2012-2013"
"Dr. Augustine Ramirez Int.","M","Hispanic","Temporarily Doubled Up",11,"2012-2013"
"Dr. Augustine Ramirez Int.","M","Pac Islander -Samoan","Temporarily Doubled Up",1,"2012-2013"
"Dr. Augustine Ramirez Int.","M","White","Temporarily Doubled Up",2,"2012-2013"
"Dr. Bernice Jameson Todd Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2012-2013"
"Dr. Bernice Jameson Todd Elem","F","Asian-Korean","Temporarily Doubled Up",1,"2012-2013"
"Dr. Bernice Jameson Todd Elem","F","Black or African American","Temporarily Doubled Up",6,"2012-2013"
"Dr. Bernice Jameson Todd Elem","F","Filipino","Temporarily Doubled Up",3,"2012-2013"
"Dr. Bernice Jameson Todd Elem","F","Hispanic","Temporarily Doubled Up",25,"2012-2013"
"Dr. Bernice Jameson Todd Elem","F","White","Temporarily Doubled Up",11,"2012-2013"
"Dr. Bernice Jameson Todd Elem","F","White","Temporarily Unsheltered",4,"2012-2013"
"Dr. Bernice Jameson Todd Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2012-2013"
"Dr. Bernice Jameson Todd Elem","M","Black or African American","Temporarily Doubled Up",4,"2012-2013"
"Dr. Bernice Jameson Todd Elem","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Dr. Bernice Jameson Todd Elem","M","Hispanic","Temporarily Doubled Up",28,"2012-2013"
"Dr. Bernice Jameson Todd Elem","M","White","Temporarily Doubled Up",17,"2012-2013"
"Dr. Bernice Jameson Todd Elem","M","White","Temporarily Unsheltered",3,"2012-2013"
"Eastvale Elem","F","Asian-Asian Indian","Temporarily Doubled Up",2,"2012-2013"
"Eastvale Elem","F","Asian-Cambodian","Temporarily Doubled Up",1,"2012-2013"
"Eastvale Elem","F","Asian-Chinese","Temporarily Doubled Up",4,"2012-2013"
"Eastvale Elem","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Eastvale Elem","F","Black or African American","Temporarily Doubled Up",6,"2012-2013"
"Eastvale Elem","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Eastvale Elem","F","Hispanic","Temporarily Doubled Up",9,"2012-2013"
"Eastvale Elem","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2012-2013"
"Eastvale Elem","F","White","Temporarily Doubled Up",4,"2012-2013"
"Eastvale Elem","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2012-2013"
"Eastvale Elem","M","Asian-Chinese","Temporarily Doubled Up",3,"2012-2013"
"Eastvale Elem","M","Black or African American","Temporarily Doubled Up",2,"2012-2013"
"Eastvale Elem","M","Declined to state","Temporarily Doubled Up",1,"2012-2013"
"Eastvale Elem","M","Hispanic","Temporarily Doubled Up",21,"2012-2013"
"Eastvale Elem","M","White","Temporarily Doubled Up",5,"2012-2013"
"Eisenhower Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2012-2013"
"Eisenhower Elem","F","Asian-Korean","Temporarily Doubled Up",1,"2012-2013"
"Eisenhower Elem","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2012-2013"
"Eisenhower Elem","F","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Eisenhower Elem","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Eisenhower Elem","F","Hispanic","Temporarily Doubled Up",15,"2012-2013"
"Eisenhower Elem","F","White","Temporarily Doubled Up",15,"2012-2013"
"Eisenhower Elem","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2012-2013"
"Eisenhower Elem","M","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Eisenhower Elem","M","Black or African American","Temporarily Doubled Up",5,"2012-2013"
"Eisenhower Elem","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Eisenhower Elem","M","Hispanic","Temporarily Doubled Up",12,"2012-2013"
"Eisenhower Elem","M","White","Temporarily Doubled Up",11,"2012-2013"
"El Cerrito Middle","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"El Cerrito Middle","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"El Cerrito Middle","F","Black or African American","Temporarily Doubled Up",2,"2012-2013"
"El Cerrito Middle","F","Filipino","Temporarily Doubled Up",2,"2012-2013"
"El Cerrito Middle","F","Hispanic","Temporarily Doubled Up",16,"2012-2013"
"El Cerrito Middle","F","Pac Islander-Hawaiian","Temporarily Doubled Up",1,"2012-2013"
"El Cerrito Middle","F","White","Temporarily Doubled Up",6,"2012-2013"
"El Cerrito Middle","F","White","Temporarily Unsheltered",1,"2012-2013"
"El Cerrito Middle","M","Asian-Japanese","Temporarily Doubled Up",1,"2012-2013"
"El Cerrito Middle","M","Asian-Korean","Temporarily Doubled Up",1,"2012-2013"
"El Cerrito Middle","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2012-2013"
"El Cerrito Middle","M","Black or African American","Temporarily Doubled Up",5,"2012-2013"
"El Cerrito Middle","M","Hispanic","Temporarily Doubled Up",11,"2012-2013"
"El Cerrito Middle","M","White","Temporarily Doubled Up",6,"2012-2013"
"El Cerrito Middle","M","White","Temporarily Unsheltered",1,"2012-2013"
"Eleanor Roosevelt High","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"Eleanor Roosevelt High","F","Asian-Chinese","Temporarily Doubled Up",1,"2012-2013"
"Eleanor Roosevelt High","F","Asian-Korean","Temporarily Doubled Up",1,"2012-2013"
"Eleanor Roosevelt High","F","Asian-Laotian","Temporarily Doubled Up",1,"2012-2013"
"Eleanor Roosevelt High","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Eleanor Roosevelt High","F","Black or African American","Temporarily Doubled Up",5,"2012-2013"
"Eleanor Roosevelt High","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Eleanor Roosevelt High","F","Hispanic","Temporarily Doubled Up",6,"2012-2013"
"Eleanor Roosevelt High","F","White","Temporarily Doubled Up",6,"2012-2013"
"Eleanor Roosevelt High","M","Black or African American","Temporarily Doubled Up",4,"2012-2013"
"Eleanor Roosevelt High","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Eleanor Roosevelt High","M","Hispanic","Temporarily Doubled Up",17,"2012-2013"
"Eleanor Roosevelt High","M","White","Temporarily Doubled Up",2,"2012-2013"
"Foothill Elem","F","Asian-Japanese","Temporarily Doubled Up",2,"2012-2013"
"Foothill Elem","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Foothill Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2012-2013"
"Foothill Elem","F","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Foothill Elem","F","Black or African American","Temporary Shelters",1,"2012-2013"
"Foothill Elem","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Foothill Elem","F","Hispanic","Temporarily Doubled Up",24,"2012-2013"
"Foothill Elem","F","White","Temporarily Doubled Up",18,"2012-2013"
"Foothill Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2012-2013"
"Foothill Elem","M","Asian-Asian Indian","Temporarily Doubled Up",3,"2012-2013"
"Foothill Elem","M","Asian-Chinese","Temporarily Doubled Up",1,"2012-2013"
"Foothill Elem","M","Asian-Japanese","Temporarily Doubled Up",1,"2012-2013"
"Foothill Elem","M","Asian-Korean","Temporarily Doubled Up",1,"2012-2013"
"Foothill Elem","M","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Foothill Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2012-2013"
"Foothill Elem","M","Black or African American","Temporarily Doubled Up",8,"2012-2013"
"Foothill Elem","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Foothill Elem","M","Hispanic","Temporarily Doubled Up",42,"2012-2013"
"Foothill Elem","M","White","Temporarily Doubled Up",20,"2012-2013"
"Garretson Elem","F","Black or African American","Temporarily Doubled Up",4,"2012-2013"
"Garretson Elem","F","Hispanic","Hotels/motels",2,"2012-2013"
"Garretson Elem","F","Hispanic","Temporarily Doubled Up",55,"2012-2013"
"Garretson Elem","F","White","Temporarily Doubled Up",7,"2012-2013"
"Garretson Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"Garretson Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2012-2013"
"Garretson Elem","M","Black or African American","Temporarily Doubled Up",4,"2012-2013"
"Garretson Elem","M","Hispanic","Temporarily Doubled Up",40,"2012-2013"
"Garretson Elem","M","Hispanic","Temporarily Unsheltered",2,"2012-2013"
"Garretson Elem","M","Pac Islander-Other","Temporarily Doubled Up",1,"2012-2013"
"Garretson Elem","M","White","Temporarily Doubled Up",8,"2012-2013"
"George Washington Elem","F","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"George Washington Elem","F","Hispanic","Temporarily Doubled Up",6,"2012-2013"
"George Washington Elem","F","White","Temporarily Doubled Up",1,"2012-2013"
"George Washington Elem","M","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"George Washington Elem","M","Black or African American","Temporarily Unsheltered",1,"2012-2013"
"George Washington Elem","M","Hispanic","Temporarily Doubled Up",11,"2012-2013"
"Harada Elem","F","Asian-Asian Indian","Temporarily Doubled Up",3,"2012-2013"
"Harada Elem","F","Asian-Asian Indian","Temporary Shelters",2,"2012-2013"
"Harada Elem","F","Asian-Chinese","Temporarily Doubled Up",2,"2012-2013"
"Harada Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2012-2013"
"Harada Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2012-2013"
"Harada Elem","F","Black or African American","Temporarily Doubled Up",6,"2012-2013"
"Harada Elem","F","Declined to state","Temporarily Doubled Up",1,"2012-2013"
"Harada Elem","F","Filipino","Temporarily Doubled Up",2,"2012-2013"
"Harada Elem","F","Hispanic","Hotels/motels",1,"2012-2013"
"Harada Elem","F","Hispanic","Temporarily Doubled Up",24,"2012-2013"
"Harada Elem","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2012-2013"
"Harada Elem","F","White","Temporarily Doubled Up",6,"2012-2013"
"Harada Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"Harada Elem","M","Asian-Asian Indian","Temporary Shelters",2,"2012-2013"
"Harada Elem","M","Asian-Chinese","Temporarily Doubled Up",3,"2012-2013"
"Harada Elem","M","Asian-Hmong","Temporarily Doubled Up",1,"2012-2013"
"Harada Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2012-2013"
"Harada Elem","M","Black or African American","Temporarily Doubled Up",3,"2012-2013"
"Harada Elem","M","Hispanic","Temporarily Doubled Up",30,"2012-2013"
"Harada Elem","M","White","Temporarily Doubled Up",4,"2012-2013"
"Harada Elem","M","White","Temporary Shelters",1,"2012-2013"
"Highland Elem","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Highland Elem","F","Hispanic","Hotels/motels",1,"2012-2013"
"Highland Elem","F","Hispanic","Temporarily Doubled Up",15,"2012-2013"
"Highland Elem","F","Hispanic","Temporary Shelters",1,"2012-2013"
"Highland Elem","F","White","Temporarily Doubled Up",8,"2012-2013"
"Highland Elem","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Highland Elem","M","Hispanic","Hotels/motels",2,"2012-2013"
"Highland Elem","M","Hispanic","Temporarily Doubled Up",16,"2012-2013"
"Highland Elem","M","Pac Islander-Other","Temporarily Doubled Up",1,"2012-2013"
"Highland Elem","M","White","Temporarily Doubled Up",10,"2012-2013"
"Home Gardens Academy","F","Hispanic","Hotels/motels",1,"2012-2013"
"Home Gardens Academy","F","Hispanic","Temporarily Doubled Up",81,"2012-2013"
"Home Gardens Academy","M","Hispanic","Temporarily Doubled Up",79,"2012-2013"
"Home Gardens Academy","M","White","Hotels/motels",1,"2012-2013"
"Home Gardens Academy","M","White","Temporarily Doubled Up",3,"2012-2013"
"Jefferson Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2012-2013"
"Jefferson Elem","F","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Jefferson Elem","F","Hispanic","Hotels/motels",3,"2012-2013"
"Jefferson Elem","F","Hispanic","Temporarily Doubled Up",54,"2012-2013"
"Jefferson Elem","F","White","Temporarily Doubled Up",2,"2012-2013"
"Jefferson Elem","M","American Indian/Alaskan Native","Hotels/motels",1,"2012-2013"
"Jefferson Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",2,"2012-2013"
"Jefferson Elem","M","Hispanic","Hotels/motels",3,"2012-2013"
"Jefferson Elem","M","Hispanic","Temporarily Doubled Up",49,"2012-2013"
"Jefferson Elem","M","White","Temporarily Doubled Up",6,"2012-2013"
"John Adams Elem","F","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"John Adams Elem","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"John Adams Elem","F","Hispanic","Temporarily Doubled Up",40,"2012-2013"
"John Adams Elem","F","Hispanic","Temporarily Unsheltered",1,"2012-2013"
"John Adams Elem","F","Hispanic","Temporary Shelters",1,"2012-2013"
"John Adams Elem","F","White","Hotels/motels",2,"2012-2013"
"John Adams Elem","F","White","Temporarily Doubled Up",6,"2012-2013"
"John Adams Elem","M","Asian-Korean","Temporarily Doubled Up",1,"2012-2013"
"John Adams Elem","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"John Adams Elem","M","Hispanic","Temporarily Doubled Up",27,"2012-2013"
"John Adams Elem","M","Hispanic","Temporarily Unsheltered",1,"2012-2013"
"John Adams Elem","M","Pac Islander-Guamanian","Temporarily Doubled Up",1,"2012-2013"
"John Adams Elem","M","White","Hotels/motels",1,"2012-2013"
"John Adams Elem","M","White","Temporarily Doubled Up",5,"2012-2013"
"John F Kennedy Middle College HS","F","Black or African American","Temporarily Doubled Up",3,"2012-2013"
"John F Kennedy Middle College HS","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"John F Kennedy Middle College HS","F","Hispanic","Temporarily Doubled Up",4,"2012-2013"
"John F Kennedy Middle College HS","F","White","Temporarily Doubled Up",5,"2012-2013"
"John F Kennedy Middle College HS","M","Hispanic","Temporarily Doubled Up",5,"2012-2013"
"John F Kennedy Middle College HS","M","White","Temporarily Doubled Up",1,"2012-2013"
"John Stallings Elem","F","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"John Stallings Elem","F","Black or African American","Temporary Shelters",1,"2012-2013"
"John Stallings Elem","F","Hispanic","Temporarily Doubled Up",17,"2012-2013"
"John Stallings Elem","F","White","Temporarily Doubled Up",3,"2012-2013"
"John Stallings Elem","M","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"John Stallings Elem","M","Hispanic","Temporarily Doubled Up",10,"2012-2013"
"John Stallings Elem","M","Hispanic","Temporary Shelters",1,"2012-2013"
"John Stallings Elem","M","White","Temporarily Doubled Up",2,"2012-2013"
"John Stallings Elem","M","White","Temporary Shelters",1,"2012-2013"
"Lee V Pollard High","F","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2012-2013"
"Lee V Pollard High","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Lee V Pollard High","F","Black or African American","Temporarily Doubled Up",5,"2012-2013"
"Lee V Pollard High","F","Black or African American","Temporarily Unsheltered",1,"2012-2013"
"Lee V Pollard High","F","Hispanic","Temporarily Doubled Up",24,"2012-2013"
"Lee V Pollard High","F","Hispanic","Temporary Shelters",1,"2012-2013"
"Lee V Pollard High","F","White","Hotels/motels",1,"2012-2013"
"Lee V Pollard High","F","White","Temporarily Doubled Up",6,"2012-2013"
"Lee V Pollard High","M","Black or African American","Temporarily Doubled Up",3,"2012-2013"
"Lee V Pollard High","M","Black or African American","Temporarily Unsheltered",1,"2012-2013"
"Lee V Pollard High","M","Hispanic","Temporarily Doubled Up",31,"2012-2013"
"Lee V Pollard High","M","Hispanic","Temporarily Unsheltered",1,"2012-2013"
"Lee V Pollard High","M","Hispanic","Temporary Shelters",1,"2012-2013"
"Lee V Pollard High","M","White","Temporarily Doubled Up",5,"2012-2013"
"Lincoln Alternative Elem","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Lincoln Alternative Elem","F","Hispanic","Temporarily Doubled Up",10,"2012-2013"
"Lincoln Alternative Elem","F","White","Temporarily Doubled Up",3,"2012-2013"
"Lincoln Alternative Elem","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Lincoln Alternative Elem","M","Hispanic","Temporarily Doubled Up",10,"2012-2013"
"Lincoln Alternative Elem","M","White","Temporarily Doubled Up",3,"2012-2013"
"Norco Elem","F","Hispanic","Temporarily Doubled Up",4,"2012-2013"
"Norco Elem","F","White","Temporarily Doubled Up",1,"2012-2013"
"Norco Elem","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Norco Elem","M","Hispanic","Temporarily Doubled Up",2,"2012-2013"
"Norco Elem","M","White","Temporarily Doubled Up",4,"2012-2013"
"Norco High","F","American Indian/Alaskan Native","Temporarily Doubled Up",2,"2012-2013"
"Norco High","F","Black or African American","Temporarily Doubled Up",7,"2012-2013"
"Norco High","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Norco High","F","Hispanic","Temporarily Doubled Up",25,"2012-2013"
"Norco High","F","White","Hotels/motels",1,"2012-2013"
"Norco High","F","White","Temporarily Doubled Up",28,"2012-2013"
"Norco High","M","Black or African American","Temporarily Doubled Up",7,"2012-2013"
"Norco High","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Norco High","M","Hispanic","Hotels/motels",1,"2012-2013"
"Norco High","M","Hispanic","Temporarily Doubled Up",25,"2012-2013"
"Norco High","M","Hispanic","Temporary Shelters",1,"2012-2013"
"Norco High","M","White","Temporarily Doubled Up",22,"2012-2013"
"Norco High","M","White","Temporarily Unsheltered",1,"2012-2013"
"Norco High","M","White","Temporary Shelters",1,"2012-2013"
"Norco Int","F","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Norco Int","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Norco Int","F","Hispanic","Temporarily Doubled Up",7,"2012-2013"
"Norco Int","F","White","Temporarily Doubled Up",11,"2012-2013"
"Norco Int","M","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Norco Int","M","Hispanic","Temporarily Doubled Up",7,"2012-2013"
"Norco Int","M","White","Temporarily Doubled Up",8,"2012-2013"
"NPS","M","Hispanic","Temporarily Doubled Up",1,"2012-2013"
"NPS","M","White","Temporarily Doubled Up",2,"2012-2013"
"Orange Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"Orange Elem","F","Black or African American","Temporarily Doubled Up",6,"2012-2013"
"Orange Elem","F","Black or African American","Temporary Shelters",1,"2012-2013"
"Orange Elem","F","Hispanic","Temporarily Doubled Up",20,"2012-2013"
"Orange Elem","F","White","Temporarily Doubled Up",15,"2012-2013"
"Orange Elem","M","Black or African American","Temporarily Doubled Up",5,"2012-2013"
"Orange Elem","M","Hispanic","Temporarily Doubled Up",27,"2012-2013"
"Orange Elem","M","White","Temporarily Doubled Up",20,"2012-2013"
"Orange Grove High","F","Hispanic","Hotels/motels",2,"2012-2013"
"Orange Grove High","F","Hispanic","Temporarily Doubled Up",4,"2012-2013"
"Orange Grove High","F","White","Temporarily Doubled Up",3,"2012-2013"
"Orange Grove High","M","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Orange Grove High","M","Hispanic","Temporarily Doubled Up",8,"2012-2013"
"Orange Grove High","M","White","Temporarily Doubled Up",2,"2012-2013"
"Parkridge Elementary","F","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Parkridge Elementary","F","Black or African American","Temporary Shelters",2,"2012-2013"
"Parkridge Elementary","F","Hispanic","Temporarily Doubled Up",55,"2012-2013"
"Parkridge Elementary","F","Hispanic","Temporary Shelters",7,"2012-2013"
"Parkridge Elementary","F","White","Temporarily Doubled Up",4,"2012-2013"
"Parkridge Elementary","M","American Indian/Alaskan Native","Temporary Shelters",1,"2012-2013"
"Parkridge Elementary","M","Asian-Laotian","Temporarily Doubled Up",1,"2012-2013"
