LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHNNIE ROBERTS JR,JAMES T LAW,DANIELA CALDERON,W H MURRAY JR,MERVIN EVANS,
LOS ANGELES,9002037A,3974,311,N,1016,POLLING PLACE,122,18,10,41,28,8,
LOS ANGELES,9002037A,3974,311,N,,VBM PORTION,26,3,2,5,6,1,
LOS ANGELES,9002037A,3974,311,N,1016,TOTAL,148,21,12,46,34,9,
LOS ANGELES,9002039A,3975,311,N,1063,POLLING PLACE,114,10,12,42,28,5,
LOS ANGELES,9002039A,3975,311,N,,VBM PORTION,32,2,4,5,12,2,
LOS ANGELES,9002039A,3975,311,N,1063,TOTAL,146,12,16,47,40,7,
LOS ANGELES,9002042A,3976,311,N,1035,POLLING PLACE,150,14,12,35,39,15,
LOS ANGELES,9002042A,3976,311,N,,VBM PORTION,29,1,2,2,18,1,
LOS ANGELES,9002042A,3976,311,N,1035,TOTAL,179,15,14,37,57,16,
LOS ANGELES,9002043A,3977,311,N,1123,POLLING PLACE,161,16,16,32,52,7,
LOS ANGELES,9002043A,3977,311,N,,VBM PORTION,21,,1,3,4,1,
LOS ANGELES,9002043A,3977,311,N,1123,TOTAL,182,16,17,35,56,8,
LOS ANGELES,9002047A,3979,312,N,803,POLLING PLACE,70,2,3,19,37,1,
LOS ANGELES,9002047A,3979,312,N,,VBM PORTION,16,,3,1,7,4,
LOS ANGELES,9002047A,3979,312,N,803,TOTAL,86,2,6,20,44,5,
LOS ANGELES,9002047B,3980,312,N,767,POLLING PLACE,69,11,1,11,41,,
LOS ANGELES,9002047B,3980,312,N,,VBM PORTION,21,3,1,3,7,2,
LOS ANGELES,9002047B,3980,312,N,767,TOTAL,90,14,2,14,48,2,
LOS ANGELES,9002050A,3982,311,N,1192,POLLING PLACE,128,15,14,32,32,13,
LOS ANGELES,9002050A,3982,311,N,,VBM PORTION,34,2,2,3,15,3,
LOS ANGELES,9002050A,3982,311,N,1192,TOTAL,162,17,16,35,47,16,
LOS ANGELES,9002054A,3984,312,N,861,POLLING PLACE,88,8,2,10,54,6,
LOS ANGELES,9002054A,3984,312,N,,VBM PORTION,21,3,2,4,5,,
LOS ANGELES,9002054A,3984,312,N,861,TOTAL,109,11,4,14,59,6,
LOS ANGELES,9002059A,3986,312,N,857,POLLING PLACE,94,4,7,18,54,2,
LOS ANGELES,9002059A,3986,312,N,,VBM PORTION,22,,4,3,8,4,
LOS ANGELES,9002059A,3986,312,N,857,TOTAL,116,4,11,21,62,6,
LOS ANGELES,9002063A,3987,312,N,938,POLLING PLACE,87,1,14,8,50,3,
LOS ANGELES,9002063A,3987,312,N,,VBM PORTION,8,,3,1,1,,
LOS ANGELES,9002063A,3987,312,N,938,TOTAL,95,1,17,9,51,3,
LOS ANGELES,9002077A,3994,309,N,1019,POLLING PLACE,119,5,10,15,67,6,
LOS ANGELES,9002077A,3994,309,N,,VBM PORTION,39,2,3,3,18,1,
LOS ANGELES,9002077A,3994,309,N,1019,TOTAL,158,7,13,18,85,7,
LOS ANGELES,9002084C,3997,229,N,512,POLLING PLACE,119,13,6,17,50,6,
LOS ANGELES,9002084C,3997,229,N,,VBM PORTION,47,1,6,3,25,2,
LOS ANGELES,9002084C,3997,229,N,512,TOTAL,166,14,12,20,75,8,
LOS ANGELES,9002090A,4002,229,N,768,POLLING PLACE,78,7,8,23,19,3,
LOS ANGELES,9002090A,4002,229,N,,VBM PORTION,30,3,2,2,12,3,
LOS ANGELES,9002090A,4002,229,N,768,TOTAL,108,10,10,25,31,6,
LOS ANGELES,9002091A,4003,229,N,1003,POLLING PLACE,189,18,18,33,69,5,
LOS ANGELES,9002091A,4003,229,N,,VBM PORTION,55,1,5,4,27,2,
LOS ANGELES,9002091A,4003,229,N,1003,TOTAL,244,19,23,37,96,7,
LOS ANGELES,9002095A,4004,229,N,804,POLLING PLACE,169,14,23,16,63,9,
LOS ANGELES,9002095A,4004,229,N,,VBM PORTION,42,1,6,3,18,1,
LOS ANGELES,9002095A,4004,229,N,804,TOTAL,211,15,29,19,81,10,
LOS ANGELES,9002097A,4005,229,N,865,POLLING PLACE,194,13,30,20,65,14,
LOS ANGELES,9002097A,4005,229,N,,VBM PORTION,47,2,2,3,30,,
LOS ANGELES,9002097A,4005,229,N,865,TOTAL,241,15,32,23,95,14,
LOS ANGELES,9002097B,4006,229,N,979,POLLING PLACE,206,19,23,22,78,11,
LOS ANGELES,9002097B,4006,229,N,,VBM PORTION,51,4,7,4,15,3,
LOS ANGELES,9002097B,4006,229,N,979,TOTAL,257,23,30,26,93,14,
LOS ANGELES,9002101A,4009,229,N,1158,POLLING PLACE,215,21,18,38,72,15,
LOS ANGELES,9002101A,4009,229,N,,VBM PORTION,46,9,,11,14,3,
LOS ANGELES,9002101A,4009,229,N,1158,TOTAL,261,30,18,49,86,18,
LOS ANGELES,9002124B,4022,229,N,1195,POLLING PLACE,196,13,23,26,74,10,
LOS ANGELES,9002124B,4022,229,N,,VBM PORTION,54,4,3,5,19,,
LOS ANGELES,9002124B,4022,229,N,1195,TOTAL,250,17,26,31,93,10,
LOS ANGELES,9002126B,4024,229,N,1016,POLLING PLACE,166,15,21,26,55,8,
LOS ANGELES,9002126B,4024,229,N,,VBM PORTION,44,2,3,5,20,1,
LOS ANGELES,9002126B,4024,229,N,1016,TOTAL,210,17,24,31,75,9,
LOS ANGELES,9002127A,4025,229,N,756,POLLING PLACE,141,13,16,23,52,10,
LOS ANGELES,9002127A,4025,229,N,,VBM PORTION,36,4,6,1,13,1,
LOS ANGELES,9002127A,4025,229,N,756,TOTAL,177,17,22,24,65,11,
LOS ANGELES,9002128A,4026,229,N,1040,POLLING PLACE,239,15,27,27,98,12,
LOS ANGELES,9002128A,4026,229,N,,VBM PORTION,43,2,2,7,25,,
LOS ANGELES,9002128A,4026,229,N,1040,TOTAL,282,17,29,34,123,12,
LOS ANGELES,9002128D,6290,231,Y,,POLLING PLACE,,,,,,,
LOS ANGELES,9002128D,6290,231,Y,,VBM PORTION,,,,,,,
LOS ANGELES,9002128D,6290,231,Y,,TOTAL,,,,,,,
LOS ANGELES,9002129B,4027,229,N,1225,POLLING PLACE,235,21,33,30,86,13,
LOS ANGELES,9002129B,4027,229,N,,VBM PORTION,42,2,2,6,15,4,
LOS ANGELES,9002129B,4027,229,N,1225,TOTAL,277,23,35,36,101,17,
LOS ANGELES,9002132B,4029,229,N,936,POLLING PLACE,246,20,22,29,100,14,
LOS ANGELES,9002132B,4029,229,N,,VBM PORTION,57,1,2,3,38,,
LOS ANGELES,9002132B,4029,229,N,936,TOTAL,303,21,24,32,138,14,
LOS ANGELES,9002135B,4030,229,N,1189,POLLING PLACE,178,15,24,22,75,10,
LOS ANGELES,9002135B,4030,229,N,,VBM PORTION,52,3,5,9,20,1,
LOS ANGELES,9002135B,4030,229,N,1189,TOTAL,230,18,29,31,95,11,
LOS ANGELES,9002136A,4031,229,N,1013,POLLING PLACE,175,23,32,36,51,6,
LOS ANGELES,9002136A,4031,229,N,,VBM PORTION,28,2,3,4,10,1,
LOS ANGELES,9002136A,4031,229,N,1013,TOTAL,203,25,35,40,61,7,
LOS ANGELES,9002137A,4032,229,N,1148,POLLING PLACE,123,15,16,29,30,14,
LOS ANGELES,9002137A,4032,229,N,,VBM PORTION,31,2,6,3,14,,
LOS ANGELES,9002137A,4032,229,N,1148,TOTAL,154,17,22,32,44,14,
LOS ANGELES,9002140A,4033,229,N,1226,POLLING PLACE,140,14,20,21,44,2,
LOS ANGELES,9002140A,4033,229,N,,VBM PORTION,49,5,4,8,21,3,
LOS ANGELES,9002140A,4033,229,N,1226,TOTAL,189,19,24,29,65,5,
LOS ANGELES,9002143A,4034,229,N,1170,POLLING PLACE,141,10,14,18,57,11,
LOS ANGELES,9002143A,4034,229,N,,VBM PORTION,45,6,2,3,20,1,
LOS ANGELES,9002143A,4034,229,N,1170,TOTAL,186,16,16,21,77,12,
LOS ANGELES,9002144A,4035,229,N,991,POLLING PLACE,142,23,13,23,48,7,
LOS ANGELES,9002144A,4035,229,N,,VBM PORTION,42,5,2,3,23,1,
LOS ANGELES,9002144A,4035,229,N,991,TOTAL,184,28,15,26,71,8,
LOS ANGELES,9002150A,4037,309,N,1036,POLLING PLACE,137,6,9,24,69,8,
LOS ANGELES,9002150A,4037,309,N,,VBM PORTION,21,3,3,4,7,,
LOS ANGELES,9002150A,4037,309,N,1036,TOTAL,158,9,12,28,76,8,
LOS ANGELES,9002153A,4038,309,N,1128,POLLING PLACE,163,7,9,31,67,10,
LOS ANGELES,9002153A,4038,309,N,,VBM PORTION,23,3,4,5,6,,
LOS ANGELES,9002153A,4038,309,N,1128,TOTAL,186,10,13,36,73,10,
LOS ANGELES,9002156A,4041,309,N,1063,POLLING PLACE,148,17,12,27,53,6,
LOS ANGELES,9002156A,4041,309,N,,VBM PORTION,28,3,3,2,10,4,
LOS ANGELES,9002156A,4041,309,N,1063,TOTAL,176,20,15,29,63,10,
LOS ANGELES,9002157A,4042,309,N,704,POLLING PLACE,91,6,8,29,39,1,
LOS ANGELES,9002157A,4042,309,N,,VBM PORTION,22,1,2,7,7,,
LOS ANGELES,9002157A,4042,309,N,704,TOTAL,113,7,10,36,46,1,
LOS ANGELES,9002162A,4044,309,N,900,POLLING PLACE,143,12,13,24,67,2,
LOS ANGELES,9002162A,4044,309,N,,VBM PORTION,26,,,5,9,4,
LOS ANGELES,9002162A,4044,309,N,900,TOTAL,169,12,13,29,76,6,
LOS ANGELES,9002163A,4045,229,N,806,POLLING PLACE,123,9,10,24,50,5,
LOS ANGELES,9002163A,4045,229,N,,VBM PORTION,35,2,1,3,10,1,
LOS ANGELES,9002163A,4045,229,N,806,TOTAL,158,11,11,27,60,6,
LOS ANGELES,9002166A,4046,309,N,861,POLLING PLACE,113,3,4,32,53,3,
LOS ANGELES,9002166A,4046,309,N,,VBM PORTION,25,2,3,5,11,2,
LOS ANGELES,9002166A,4046,309,N,861,TOTAL,138,5,7,37,64,5,
LOS ANGELES,9002167A,4047,229,N,1066,POLLING PLACE,165,14,24,18,56,8,
LOS ANGELES,9002167A,4047,229,N,,VBM PORTION,67,6,2,8,28,4,
LOS ANGELES,9002167A,4047,229,N,1066,TOTAL,232,20,26,26,84,12,
LOS ANGELES,9002177A,4051,330,N,920,POLLING PLACE,161,13,18,20,62,8,
LOS ANGELES,9002177A,4051,330,N,,VBM PORTION,41,1,3,4,21,2,
LOS ANGELES,9002177A,4051,330,N,920,TOTAL,202,14,21,24,83,10,
LOS ANGELES,9002178A,4052,309,N,798,POLLING PLACE,173,7,12,27,105,10,
LOS ANGELES,9002178A,4052,309,N,,VBM PORTION,40,2,6,3,18,2,
LOS ANGELES,9002178A,4052,309,N,798,TOTAL,213,9,18,30,123,12,
LOS ANGELES,9002179A,4053,309,N,798,POLLING PLACE,139,16,9,9,81,5,
LOS ANGELES,9002179A,4053,309,N,,VBM PORTION,28,,4,6,10,2,
LOS ANGELES,9002179A,4053,309,N,798,TOTAL,167,16,13,15,91,7,
LOS ANGELES,9002181A,4055,234,N,1009,POLLING PLACE,128,14,12,17,46,6,
LOS ANGELES,9002181A,4055,234,N,,VBM PORTION,38,4,2,7,13,3,
LOS ANGELES,9002181A,4055,234,N,1009,TOTAL,166,18,14,24,59,9,
LOS ANGELES,9002182A,4056,234,N,1169,POLLING PLACE,278,26,30,53,81,14,
LOS ANGELES,9002182A,4056,234,N,,VBM PORTION,62,4,2,9,23,6,
LOS ANGELES,9002182A,4056,234,N,1169,TOTAL,340,30,32,62,104,20,
LOS ANGELES,9002207A,4063,330,N,1313,POLLING PLACE,245,25,38,28,86,22,
LOS ANGELES,9002207A,4063,330,N,,VBM PORTION,71,4,9,6,35,2,
LOS ANGELES,9002207A,4063,330,N,1313,TOTAL,316,29,47,34,121,24,
LOS ANGELES,9002211A,4065,309,N,1202,POLLING PLACE,220,13,7,13,154,9,
LOS ANGELES,9002211A,4065,309,N,,VBM PORTION,64,6,9,3,26,,
LOS ANGELES,9002211A,4065,309,N,1202,TOTAL,284,19,16,16,180,9,
LOS ANGELES,9002214A,4066,309,N,1083,POLLING PLACE,268,9,17,22,166,11,
LOS ANGELES,9002214A,4066,309,N,,VBM PORTION,64,5,6,4,24,2,
LOS ANGELES,9002214A,4066,309,N,1083,TOTAL,332,14,23,26,190,13,
LOS ANGELES,9002219A,4067,309,N,952,POLLING PLACE,193,14,7,17,127,4,
LOS ANGELES,9002219A,4067,309,N,,VBM PORTION,36,4,3,1,18,3,
LOS ANGELES,9002219A,4067,309,N,952,TOTAL,229,18,10,18,145,7,
LOS ANGELES,9002344A,4125,311,N,1016,POLLING PLACE,125,11,12,31,42,7,
LOS ANGELES,9002344A,4125,311,N,,VBM PORTION,12,,6,1,4,,
LOS ANGELES,9002344A,4125,311,N,1016,TOTAL,137,11,18,32,46,7,
LOS ANGELES,9002449A,6296,312,Y,20,POLLING PLACE,,,,,,,
LOS ANGELES,9002449A,6296,312,Y,,VBM PORTION,1,,,1,,,
LOS ANGELES,9002449A,6296,312,Y,20,TOTAL,1,,,1,,,
LOS ANGELES,9002456A,4168,309,N,820,POLLING PLACE,110,7,6,26,44,4,
LOS ANGELES,9002456A,4168,309,N,,VBM PORTION,25,2,1,4,11,4,
LOS ANGELES,9002456A,4168,309,N,820,TOTAL,135,9,7,30,55,8,
LOS ANGELES,9002459A,4169,309,N,1073,POLLING PLACE,154,7,13,27,80,9,
LOS ANGELES,9002459A,4169,309,N,,VBM PORTION,38,1,3,5,12,2,
LOS ANGELES,9002459A,4169,309,N,1073,TOTAL,192,8,16,32,92,11,
LOS ANGELES,9002461A,4170,309,N,861,POLLING PLACE,147,13,13,22,74,9,
LOS ANGELES,9002461A,4170,309,N,,VBM PORTION,26,2,1,3,14,,
LOS ANGELES,9002461A,4170,309,N,861,TOTAL,173,15,14,25,88,9,
LOS ANGELES,9002465A,4171,309,N,1119,POLLING PLACE,137,15,6,22,66,4,
LOS ANGELES,9002465A,4171,309,N,,VBM PORTION,41,1,4,1,20,,
LOS ANGELES,9002465A,4171,309,N,1119,TOTAL,178,16,10,23,86,4,
LOS ANGELES,9002466A,4172,309,N,822,POLLING PLACE,78,4,4,19,37,4,
LOS ANGELES,9002466A,4172,309,N,,VBM PORTION,30,4,2,7,13,1,
LOS ANGELES,9002466A,4172,309,N,822,TOTAL,108,8,6,26,50,5,
LOS ANGELES,9002471A,4173,309,N,1025,POLLING PLACE,79,13,10,13,27,2,
LOS ANGELES,9002471A,4173,309,N,,VBM PORTION,32,3,1,1,15,6,
LOS ANGELES,9002471A,4173,309,N,1025,TOTAL,111,16,11,14,42,8,
LOS ANGELES,9002472B,4174,309,N,636,POLLING PLACE,63,1,4,19,31,,
LOS ANGELES,9002472B,4174,309,N,,VBM PORTION,22,1,1,3,10,2,
LOS ANGELES,9002472B,4174,309,N,636,TOTAL,85,2,5,22,41,2,
LOS ANGELES,9002474A,4176,358,N,498,POLLING PLACE,45,1,3,6,28,2,
LOS ANGELES,9002474A,4176,358,N,,VBM PORTION,14,1,2,6,3,,
LOS ANGELES,9002474A,4176,358,N,498,TOTAL,59,2,5,12,31,2,
LOS ANGELES,9002477A,4178,309,N,1106,POLLING PLACE,219,18,13,27,112,9,
LOS ANGELES,9002477A,4178,309,N,,VBM PORTION,34,1,1,8,16,,
LOS ANGELES,9002477A,4178,309,N,1106,TOTAL,253,19,14,35,128,9,
LOS ANGELES,9002481A,4179,309,N,1004,POLLING PLACE,180,11,21,37,86,4,
LOS ANGELES,9002481A,4179,309,N,,VBM PORTION,15,,4,4,4,,
LOS ANGELES,9002481A,4179,309,N,1004,TOTAL,195,11,25,41,90,4,
LOS ANGELES,9002482A,4180,309,N,829,POLLING PLACE,135,12,7,27,68,5,
LOS ANGELES,9002482A,4180,309,N,,VBM PORTION,30,3,6,6,9,2,
LOS ANGELES,9002482A,4180,309,N,829,TOTAL,165,15,13,33,77,7,
LOS ANGELES,9002484B,4181,309,N,819,POLLING PLACE,152,21,11,19,77,4,
LOS ANGELES,9002484B,4181,309,N,,VBM PORTION,27,2,2,3,14,,
LOS ANGELES,9002484B,4181,309,N,819,TOTAL,179,23,13,22,91,4,
LOS ANGELES,9002485A,4182,309,N,751,POLLING PLACE,118,14,8,22,54,2,
LOS ANGELES,9002485A,4182,309,N,,VBM PORTION,14,1,,2,8,1,
LOS ANGELES,9002485A,4182,309,N,751,TOTAL,132,15,8,24,62,3,
LOS ANGELES,9002489A,4183,309,N,863,POLLING PLACE,163,15,15,9,100,10,
LOS ANGELES,9002489A,4183,309,N,,VBM PORTION,34,4,6,,15,2,
LOS ANGELES,9002489A,4183,309,N,863,TOTAL,197,19,21,9,115,12,
LOS ANGELES,9002491A,4184,312,N,686,POLLING PLACE,56,4,7,10,27,4,
LOS ANGELES,9002491A,4184,312,N,,VBM PORTION,7,,2,,3,,
LOS ANGELES,9002491A,4184,312,N,686,TOTAL,63,4,9,10,30,4,
LOS ANGELES,9002492A,4185,309,N,1064,POLLING PLACE,225,17,17,26,128,9,
LOS ANGELES,9002492A,4185,309,N,,VBM PORTION,35,1,2,2,13,4,
LOS ANGELES,9002492A,4185,309,N,1064,TOTAL,260,18,19,28,141,13,
LOS ANGELES,9002494A,4186,358,N,1040,POLLING PLACE,136,8,10,18,74,9,
LOS ANGELES,9002494A,4186,358,N,,VBM PORTION,26,2,4,4,7,5,
LOS ANGELES,9002494A,4186,358,N,1040,TOTAL,162,10,14,22,81,14,
LOS ANGELES,9002496A,4187,358,N,999,POLLING PLACE,151,10,10,9,100,6,
LOS ANGELES,9002496A,4187,358,N,,VBM PORTION,56,7,6,4,22,4,
LOS ANGELES,9002496A,4187,358,N,999,TOTAL,207,17,16,13,122,10,
LOS ANGELES,9002496B,4188,358,N,897,POLLING PLACE,122,6,17,14,72,6,
LOS ANGELES,9002496B,4188,358,N,,VBM PORTION,29,,6,3,16,2,
LOS ANGELES,9002496B,4188,358,N,897,TOTAL,151,6,23,17,88,8,
LOS ANGELES,9002497A,4189,312,N,664,POLLING PLACE,155,11,11,12,96,7,
LOS ANGELES,9002497A,4189,312,N,,VBM PORTION,51,2,1,2,26,3,
LOS ANGELES,9002497A,4189,312,N,664,TOTAL,206,13,12,14,122,10,
LOS ANGELES,9002499A,4190,312,N,1019,POLLING PLACE,233,14,20,13,146,8,
LOS ANGELES,9002499A,4190,312,N,,VBM PORTION,61,6,5,4,28,1,
LOS ANGELES,9002499A,4190,312,N,1019,TOTAL,294,20,25,17,174,9,
LOS ANGELES,9002500A,4191,312,N,841,POLLING PLACE,206,12,9,12,142,5,
LOS ANGELES,9002500A,4191,312,N,,VBM PORTION,54,11,8,,17,2,
LOS ANGELES,9002500A,4191,312,N,841,TOTAL,260,23,17,12,159,7,
LOS ANGELES,9002502A,4192,332,N,1061,POLLING PLACE,245,9,17,15,170,5,
LOS ANGELES,9002502A,4192,332,N,,VBM PORTION,37,3,4,4,22,,
LOS ANGELES,9002502A,4192,332,N,1061,TOTAL,282,12,21,19,192,5,
LOS ANGELES,9002503A,4193,312,N,982,POLLING PLACE,165,15,6,15,106,6,
LOS ANGELES,9002503A,4193,312,N,,VBM PORTION,46,3,5,9,14,1,
LOS ANGELES,9002503A,4193,312,N,982,TOTAL,211,18,11,24,120,7,
LOS ANGELES,9002504A,4194,332,N,1104,POLLING PLACE,249,7,21,17,160,13,
LOS ANGELES,9002504A,4194,332,N,,VBM PORTION,42,1,5,1,16,3,
LOS ANGELES,9002504A,4194,332,N,1104,TOTAL,291,8,26,18,176,16,
LOS ANGELES,9002507A,4195,332,N,853,POLLING PLACE,203,9,10,12,140,10,
LOS ANGELES,9002507A,4195,332,N,,VBM PORTION,34,3,2,4,15,,
LOS ANGELES,9002507A,4195,332,N,853,TOTAL,237,12,12,16,155,10,
LOS ANGELES,9002510A,4197,358,N,1129,POLLING PLACE,210,15,12,29,120,7,
LOS ANGELES,9002510A,4197,358,N,,VBM PORTION,52,3,4,7,17,,
LOS ANGELES,9002510A,4197,358,N,1129,TOTAL,262,18,16,36,137,7,
LOS ANGELES,9002520A,4198,358,N,983,POLLING PLACE,135,6,8,13,83,5,
LOS ANGELES,9002520A,4198,358,N,,VBM PORTION,26,,2,6,12,,
LOS ANGELES,9002520A,4198,358,N,983,TOTAL,161,6,10,19,95,5,
LOS ANGELES,9002521A,4199,312,N,1040,POLLING PLACE,134,6,9,24,77,6,
LOS ANGELES,9002521A,4199,312,N,,VBM PORTION,30,4,1,8,9,2,
LOS ANGELES,9002521A,4199,312,N,1040,TOTAL,164,10,10,32,86,8,
LOS ANGELES,9002523A,4200,312,N,931,POLLING PLACE,136,10,9,26,75,4,
LOS ANGELES,9002523A,4200,312,N,,VBM PORTION,27,,4,5,7,1,
LOS ANGELES,9002523A,4200,312,N,931,TOTAL,163,10,13,31,82,5,
LOS ANGELES,9002525A,4201,312,N,1004,POLLING PLACE,166,8,10,25,109,5,
LOS ANGELES,9002525A,4201,312,N,,VBM PORTION,26,3,4,5,11,1,
LOS ANGELES,9002525A,4201,312,N,1004,TOTAL,192,11,14,30,120,6,
LOS ANGELES,9002529A,4202,358,N,976,POLLING PLACE,156,9,14,30,87,1,
LOS ANGELES,9002529A,4202,358,N,,VBM PORTION,25,1,,1,17,1,
LOS ANGELES,9002529A,4202,358,N,976,TOTAL,181,10,14,31,104,2,
LOS ANGELES,9002531A,4203,358,N,944,POLLING PLACE,86,7,5,18,50,2,
LOS ANGELES,9002531A,4203,358,N,,VBM PORTION,25,3,1,2,9,,
LOS ANGELES,9002531A,4203,358,N,944,TOTAL,111,10,6,20,59,2,
LOS ANGELES,9002534A,4205,369,N,1141,POLLING PLACE,111,5,8,21,47,10,
LOS ANGELES,9002534A,4205,369,N,,VBM PORTION,19,3,1,4,6,,
LOS ANGELES,9002534A,4205,369,N,1141,TOTAL,130,8,9,25,53,10,
LOS ANGELES,9002534C,4206,369,N,1141,POLLING PLACE,95,8,13,23,33,6,
LOS ANGELES,9002534C,4206,369,N,,VBM PORTION,20,1,6,2,10,,
LOS ANGELES,9002534C,4206,369,N,1141,TOTAL,115,9,19,25,43,6,
LOS ANGELES,9002537A,4207,369,N,1045,POLLING PLACE,99,5,7,26,39,10,
LOS ANGELES,9002537A,4207,369,N,,VBM PORTION,31,1,4,7,11,,
LOS ANGELES,9002537A,4207,369,N,1045,TOTAL,130,6,11,33,50,10,
LOS ANGELES,9002540A,4208,369,N,1205,POLLING PLACE,95,11,8,20,46,1,
LOS ANGELES,9002540A,4208,369,N,,VBM PORTION,17,,,3,8,2,
LOS ANGELES,9002540A,4208,369,N,1205,TOTAL,112,11,8,23,54,3,
LOS ANGELES,9002540B,4209,369,N,935,POLLING PLACE,66,6,3,16,24,2,
LOS ANGELES,9002540B,4209,369,N,,VBM PORTION,12,2,1,2,3,1,
LOS ANGELES,9002540B,4209,369,N,935,TOTAL,78,8,4,18,27,3,
LOS ANGELES,9002544B,4210,369,N,975,POLLING PLACE,118,5,10,19,72,4,
LOS ANGELES,9002544B,4210,369,N,,VBM PORTION,27,,1,2,14,4,
LOS ANGELES,9002544B,4210,369,N,975,TOTAL,145,5,11,21,86,8,
LOS ANGELES,9002548A,4213,369,N,1035,POLLING PLACE,90,5,5,21,43,,
LOS ANGELES,9002548A,4213,369,N,,VBM PORTION,24,2,1,5,10,,
LOS ANGELES,9002548A,4213,369,N,1035,TOTAL,114,7,6,26,53,,
LOS ANGELES,9002549A,4214,369,N,590,POLLING PLACE,73,4,5,15,35,3,
LOS ANGELES,9002549A,4214,369,N,,VBM PORTION,16,2,2,3,7,,
LOS ANGELES,9002549A,4214,369,N,590,TOTAL,89,6,7,18,42,3,
LOS ANGELES,9002551A,4215,369,N,999,POLLING PLACE,51,3,7,15,14,3,
LOS ANGELES,9002551A,4215,369,N,,VBM PORTION,13,,4,5,2,,
LOS ANGELES,9002551A,4215,369,N,999,TOTAL,64,3,11,20,16,3,
LOS ANGELES,9002553B,4216,369,N,569,POLLING PLACE,17,1,2,4,7,1,
LOS ANGELES,9002553B,4216,369,N,,VBM PORTION,6,1,1,1,1,,
LOS ANGELES,9002553B,4216,369,N,569,TOTAL,23,2,3,5,8,1,
LOS ANGELES,9002555B,4217,369,N,1035,POLLING PLACE,125,12,7,28,50,2,
LOS ANGELES,9002555B,4217,369,N,,VBM PORTION,16,1,2,,6,3,
LOS ANGELES,9002555B,4217,369,N,1035,TOTAL,141,13,9,28,56,5,
LOS ANGELES,9002556A,4218,229,N,1163,POLLING PLACE,248,24,30,21,93,13,
LOS ANGELES,9002556A,4218,229,N,,VBM PORTION,92,10,8,3,44,7,
LOS ANGELES,9002556A,4218,229,N,1163,TOTAL,340,34,38,24,137,20,
LOS ANGELES,9002558A,4219,358,N,714,POLLING PLACE,70,3,4,13,37,1,
LOS ANGELES,9002558A,4219,358,N,,VBM PORTION,17,5,2,,8,,
LOS ANGELES,9002558A,4219,358,N,714,TOTAL,87,8,6,13,45,1,
LOS ANGELES,9002563A,4221,358,N,953,POLLING PLACE,107,6,5,13,60,8,
LOS ANGELES,9002563A,4221,358,N,,VBM PORTION,13,,2,6,4,,
LOS ANGELES,9002563A,4221,358,N,953,TOTAL,120,6,7,19,64,8,
LOS ANGELES,9002566A,4222,358,N,922,POLLING PLACE,89,10,6,12,47,4,
LOS ANGELES,9002566A,4222,358,N,,VBM PORTION,20,2,2,3,8,1,
LOS ANGELES,9002566A,4222,358,N,922,TOTAL,109,12,8,15,55,5,
LOS ANGELES,9002568A,4223,358,N,814,POLLING PLACE,101,2,8,17,56,2,
LOS ANGELES,9002568A,4223,358,N,,VBM PORTION,25,1,1,5,9,3,
LOS ANGELES,9002568A,4223,358,N,814,TOTAL,126,3,9,22,65,5,
LOS ANGELES,9002572A,4224,358,N,1133,POLLING PLACE,136,11,13,18,67,4,
LOS ANGELES,9002572A,4224,358,N,,VBM PORTION,43,2,2,6,19,1,
LOS ANGELES,9002572A,4224,358,N,1133,TOTAL,179,13,15,24,86,5,
LOS ANGELES,9002583A,4227,358,N,1101,POLLING PLACE,160,15,12,32,79,2,
LOS ANGELES,9002583A,4227,358,N,,VBM PORTION,29,2,2,2,17,1,
LOS ANGELES,9002583A,4227,358,N,1101,TOTAL,189,17,14,34,96,3,
LOS ANGELES,9002584A,4228,358,N,1214,POLLING PLACE,155,7,11,24,91,10,
LOS ANGELES,9002584A,4228,358,N,,VBM PORTION,39,5,5,3,18,,
LOS ANGELES,9002584A,4228,358,N,1214,TOTAL,194,12,16,27,109,10,
LOS ANGELES,9002587A,4229,359,N,1171,POLLING PLACE,143,17,8,37,52,4,
LOS ANGELES,9002587A,4229,359,N,,VBM PORTION,33,5,6,2,12,1,
LOS ANGELES,9002587A,4229,359,N,1171,TOTAL,176,22,14,39,64,5,
LOS ANGELES,9002588B,4230,359,N,836,POLLING PLACE,100,11,8,20,40,1,
LOS ANGELES,9002588B,4230,359,N,,VBM PORTION,30,1,1,6,16,2,
LOS ANGELES,9002588B,4230,359,N,836,TOTAL,130,12,9,26,56,3,
LOS ANGELES,9002591A,4231,361,N,643,POLLING PLACE,103,6,7,16,62,3,
LOS ANGELES,9002591A,4231,361,N,,VBM PORTION,21,2,,3,5,1,
LOS ANGELES,9002591A,4231,361,N,643,TOTAL,124,8,7,19,67,4,
LOS ANGELES,9002673C,4250,312,N,852,POLLING PLACE,132,11,7,24,70,3,
LOS ANGELES,9002673C,4250,312,N,,VBM PORTION,24,3,3,5,5,,
LOS ANGELES,9002673C,4250,312,N,852,TOTAL,156,14,10,29,75,3,
LOS ANGELES,9002702A,6321,369,Y,14,POLLING PLACE,,,,,,,
LOS ANGELES,9002702A,6321,369,Y,,VBM PORTION,,,,,,,
